cluster	org_name	org_node	org_lat	org_long	org_inc	hosp_name	hosp_node	hosp_lat	hosp_long	hosp_inc	hosp_bed	subject1	subject2	subject3	subject4	subject5	subject1_count	subject2_count	subject3_count	subject4_count	subject5_count	subject1_cost	subject2_cost	subject3_cost	subject4_cost	subject5_cost	FIPS	n1	n2	county
cluster_0_0_0_3_12_19_26_41_341	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	796.0	'medulloblastoma'@en	'autophagy'@en	'Saccharomyces cerevisiae'@en	'brain'@en	'cell biology'@en	75020.0	13640.0	10230.0	6820.0	6820.0	47469753320.0	8630864240.0	6473148180.0	4315432120.0	4315432120.0	1021.0	0.6345	0.104	Chilton County
cluster_0_0_2_2_11_1_1_1_27	'University of Melbourne'@en	Q319078	-37.7963	144.9614	1853.0	'Victorian Comprehensive Cancer Centre'@en	Q24185397	-37.80027778	144.95666667		657.8843930635838	'colorectal cancer'@en	'genome-wide association study'@en	'susceptibility locus'@en	'asthma'@en	'collaboration'@en	72680.0	25280.0	25280.0	15168.0	12008.0	145359927320.0	50559974720.0	50559974720.0	30335984832.0	24015987992.0	1023.0	0.2147	0.035	Choctaw County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'Zika virus'@en	'Simian immunodeficiency virus'@en	'antibody'@en	'lymphocyte'@en	'HIV'@en	66024.0	47160.0	44016.0	31440.0	28296.0	728446947396.0	520319248140.0	485631298264.0	346879498760.0	312191548884.0	1025.0	0.5585	0.092	Clarke County
cluster_0_0_0_8_14_59_97_357_1379	'University of Minnesota'@en	Q238101	44.975277777778	-93.234166666667	1851.0	'University of Minnesota Medical Center'@en	Q7895801	44.97222222	-93.23222222		657.8843930635838	'leukemia'@en	'bone marrow'@en	'immunotherapy'@en	'inflammation'@en	'phase II clinical trial'@en	56350.0	40250.0	36225.0	32200.0	32200.0	107256283260.0	76611630900.0	68950467810.0	61289304720.0	61289304720.0	1027.0	0.4291	0.081	Clay County
cluster_0_1_1_12_27_47_75_119_217	'Washington University in St. Louis'@en	Q777403	38.648	-90.305	1853.0	'Washington University Medical Center'@en	Q7972506	38.637	-90.265	1962.0	657.8843930635838	'microbiome'@en	'Escherichia coli'@en	'genomics'@en	'methicillin-resistant Staphylococcus aureus'@en	'Salmonella enterica'@en	53200.0	16800.0	14000.0	7000.0	5600.0	28070582976.0	8864394624.0	7386995520.0	3693497760.0	2954798208.0	1029.0	0.1731	0.1	Cleburne County
cluster_0_0_0_8_18_29_38_158_1074	'Wake Forest School of Medicine'@en	Q7960933	36.0902	-80.2686	1902.0	'Brenner Children\'s Hospital'@en	Q4961269	36.0902	-80.2693	1986.0	657.8843930635838	'heart failure'@en	'disability'@en	'genome-wide association study'@en	'inflammation'@en	'obesity'@en	44232.0	39576.0	39576.0	32592.0	30264.0	34855531008.0	31186527744.0	31186527744.0	25683022848.0	23848521216.0	1031.0	0.913	0.531	Coffee County
cluster_0_0_2_2_11_35_47_77_406	'University of Kansas'@en	Q52413	38.958055555556	-95.247777777778	1865.0	'University of North Carolina Hospitals'@en	Q30288421	35.90515	-79.050011	1989.0	657.8843930635838	'genome-wide association study'@en	'obesity'@en	'atherosclerosis'@en	'metabolic syndrome'@en	'community health'@en	36636.0	22152.0	14484.0	13632.0	8520.0	48837913920.0	29529901440.0	19308012480.0	18172247040.0	11357654400.0	1033.0	0.8405	0.39	Colbert County
cluster_0_0_2_2_11_35_47_77_406	'National Institutes of Health'@en	Q390551	38.9975	-77.10194444444444	1887.0	'University of North Carolina Hospitals'@en	Q30288421	35.90515	-79.050011	1989.0	657.8843930635838	'genome-wide association study'@en	'obesity'@en	'atherosclerosis'@en	'metabolic syndrome'@en	'community health'@en	36636.0	22152.0	14484.0	13632.0	8520.0	48837913920.0	29529901440.0	19308012480.0	18172247040.0	11357654400.0	1035.0	0.4422	0.067	Conecuh County
cluster_0_0_0_3_12_20_131_236_1292	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'Toll-like receptor'@en	'CRISPR'@en	'corpus striatum'@en	'dopamine'@en	'RNA sequencing'@en	35700.0	24642.0	18972.0	16864.0	16380.0	12030315900.0	51124215276.0	13755155832.0	12226805184.0	20242838421.0	1037.0	0.7828	0.095	Coosa County
cluster_0_1_4_7_9_16_129_368_1416	'Massachusetts General Hospital'@en	Q126412	42.362805555556	-71.068630555556	1811.0	'Massachusetts General Hospital'@en	Q126412	42.362805555556	-71.068630555556	1811.0	1034.0	'genome-wide association study'@en	'susceptibility locus'@en	'autism spectrum'@en	'schizophrenia'@en	'type 2 diabetes'@en	28350.0	14490.0	13230.0	11970.0	11970.0	22678228890.0	11591094766.0	10583173482.0	9575252198.0	9575252198.0	1039.0	0.8336	0.366	Covington County
cluster_0_1_4_7_9_16_129_368_1416	'Harvard Medical School'@en	Q49121	42.335743	-71.105138	1782.0	'Massachusetts General Hospital'@en	Q126412	42.362805555556	-71.068630555556	1811.0	1034.0	'genome-wide association study'@en	'susceptibility locus'@en	'autism spectrum'@en	'schizophrenia'@en	'type 2 diabetes'@en	28350.0	14490.0	13230.0	11970.0	11970.0	22678228890.0	11591094766.0	10583173482.0	9575252198.0	9575252198.0	1041.0	0.729	0.196	Crenshaw County
cluster_0_1_4_7_9_16_129_368_1416	'Institute for Molecular Medicine Finland'@en	Q30296228	60.19139	24.903942	2006.0	'Massachusetts General Hospital'@en	Q126412	42.362805555556	-71.068630555556	1811.0	1034.0	'genome-wide association study'@en	'susceptibility locus'@en	'autism spectrum'@en	'schizophrenia'@en	'type 2 diabetes'@en	28350.0	14490.0	13230.0	11970.0	11970.0	22678228890.0	11591094766.0	10583173482.0	9575252198.0	9575252198.0	1043.0	0.7835	0.364	Cullman County
cluster_0_1_1_12_27_47_75_119_450	'Texas A&M University'@en	Q49212	30.610369	-96.344056	1876.0	'Dorothea Dix Hospital'@en	Q5298239	35.769	-78.6553		657.8843930635838	'collaboration'@en	'colorectal cancer'@en	'adenocarcinoma'@en	'autism'@en	'cell line'@en	27840.0	5220.0	3480.0	3480.0	3480.0	17936244480.0	3363045840.0	2242030560.0	2242030560.0	2242030560.0	1045.0	0.9479	0.351	Dale County
cluster_0_1_4_7_21_36_48_179_464	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'respiratory disease'@en	'drug delivery'@en	'biomimetics'@en	'Zika fever vaccine'@en	'endothelium'@en	27280.0	26400.0	24200.0	22008.0	22000.0	34801368800.0	16266174144.0	14910659632.0	242815649132.0	13555145120.0	1047.0	0.7637	0.249	Dallas County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'drug delivery'@en	'biomimetics'@en	'Zika fever vaccine'@en	'endothelium'@en	'microfabrication'@en	26400.0	24200.0	22008.0	22000.0	22000.0	16266174144.0	14910659632.0	242815649132.0	13555145120.0	13555145120.0	1049.0	0.9883	0.402	DeKalb County
cluster_0_0_0_3_12_19_26_39_990	'University of California, San Francisco'@en	Q1061104	37.763319444444	-122.45853888889	1873.0	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	796.0	'CRISPR'@en	'autophagy'@en	'Mycobacterium tuberculosis'@en	'Subventricular zone'@en	'ribozyme'@en	24642.0	14616.0	9100.0	9020.0	6993.0	51124215276.0	6299926584.0	3578238170.0	5886339400.0	14508223254.0	1051.0	0.9268	0.509	Elmore County
cluster_0_0_0_3_12_19_26_39_990	'University of California, Berkeley'@en	Q168756	37.87	-122.259	1868.0	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	796.0	'CRISPR'@en	'RNA sequencing'@en	'Mycobacterium tuberculosis'@en	'ribozyme'@en	'glycosylation'@en	24642.0	12033.0	9100.0	6993.0	6300.0	51124215276.0	95606658252.0	3578238170.0	14508223254.0	2477241810.0	1053.0	0.7474	0.243	Escambia County
cluster_0_0_0_3_12_19_26_39_990	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	796.0	'CRISPR'@en	'corpus striatum'@en	'dopamine'@en	'RNA sequencing'@en	'database'@en	24642.0	18972.0	16864.0	16380.0	16380.0	51124215276.0	13755155832.0	12226805184.0	20242838421.0	20242838421.0	1055.0	0.9514	0.404	Etowah County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'Zika fever vaccine'@en	'endothelium'@en	'microfabrication'@en	'self-assembly'@en	'graphene'@en	22008.0	22000.0	22000.0	22000.0	19800.0	242815649132.0	13555145120.0	13555145120.0	13555145120.0	12199630608.0	1057.0	0.1989	0.077	Fayette County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'endothelium'@en	'microfabrication'@en	'self-assembly'@en	'graphene'@en	'epidemiology'@en	22000.0	22000.0	22000.0	19800.0	19530.0	13555145120.0	13555145120.0	13555145120.0	12199630608.0	24914616300.0	1059.0	0.6604	0.111	Franklin County
cluster_0_1_4_7_21_36_48_179_464	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'epidemiology'@en	'SARS-CoV-2'@en	'Toll-like receptor'@en	'immunology'@en	'biodegradation'@en	19530.0	18864.0	18864.0	18864.0	17600.0	24914616300.0	208127699256.0	208127699256.0	208127699256.0	10844116096.0	1061.0	0.5956	0.176	Geneva County
cluster_0_0_0_5_34_82_165_315_1172	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'corpus striatum'@en	'dopamine'@en	'RNA sequencing'@en	'database'@en	'Alzheimer\'s disease'@en	18972.0	16864.0	16380.0	16380.0	15810.0	13755155832.0	12226805184.0	20242838421.0	20242838421.0	11462629860.0	1063.0	0.0085	0.013	Greene County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'SARS-CoV-2'@en	'Toll-like receptor'@en	'immunology'@en	'biodegradation'@en	'nanotechnology'@en	18864.0	18864.0	18864.0	17600.0	17600.0	208127699256.0	208127699256.0	208127699256.0	10844116096.0	10844116096.0	1065.0	0.5144	0.095	Hale County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'biodegradation'@en	'nanotechnology'@en	'immunization'@en	'vaccine engineering'@en	'vector-based vaccine'@en	17600.0	17600.0	15720.0	15720.0	15720.0	10844116096.0	10844116096.0	173439749380.0	173439749380.0	173439749380.0	1067.0	0.6405	0.107	Henry County
cluster_0_0_2_2_6_8_13_16_73	'Stanford University School of Medicine'@en	Q4115969	37.43444444	-122.17611111	1908.0	'Stanford University Medical Center'@en	Q7598810	37.434	-122.175	1959.0	613.0	'health disparity'@en	'public health'@en	'susceptibility locus'@en	'genome-wide association study'@en	'California'@en	17064.0	17064.0	14536.0	13904.0	8216.0	34127982936.0	34127982936.0	29071985464.0	27807986096.0	16431991784.0	1069.0	0.8734	0.54	Houston County
cluster_0_1_1_12_27_47_75_129_446	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'RNA sequencing'@en	'database'@en	'Alzheimer\'s disease'@en	'statistics'@en	'inflammation'@en	16380.0	16380.0	15810.0	11340.0	10710.0	20242838421.0	20242838421.0	11462629860.0	14014272753.0	3609094770.0	1071.0	0.9643	0.419	Jackson County
cluster_0_0_0_5_34_82_165_315_1172	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'Alzheimer\'s disease'@en	'statistics'@en	'inflammation'@en	'Caenorhabditis elegans'@en	'transcriptome'@en	15810.0	11340.0	10710.0	10080.0	10080.0	11462629860.0	14014272753.0	3609094770.0	12457131336.0	12457131336.0	1073.0	0.9906	0.532	Jefferson County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'immunization'@en	'vaccine engineering'@en	'vector-based vaccine'@en	'carbon nanotube'@en	'lung'@en	15720.0	15720.0	15720.0	15400.0	13950.0	173439749380.0	173439749380.0	173439749380.0	9488601584.0	17796154500.0	1075.0	0.4309	0.095	Lamar County
cluster_0_0_0_8_10_30_83_342_1068	'Santa Fe Institute'@en	Q1196057	35.7005	-105.909	1984.0	'CHRISTUS St. Vincent Regional Medical Center'@en	Q5011311	35.659	-105.945	1865.0	657.8843930635838	'DNA methylation'@en	'leukemia'@en	'RNA sequencing'@en	'Toxoplasma gondii'@en	'asthma'@en	15402.0	3624.0	1812.0	1812.0	1812.0	5981369046.0	1407380952.0	703690476.0	703690476.0	703690476.0	1077.0	0.8173	0.36	Lauderdale County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'carbon nanotube'@en	'lung'@en	'particulates'@en	'age group'@en	'3D printing'@en	15400.0	13950.0	13950.0	13330.0	13200.0	9488601584.0	17796154500.0	17796154500.0	17005214300.0	8133087072.0	1079.0	0.5525	0.09	Lawrence County
cluster_0_1_3_11_25_81_164_378_1484	'University of California, San Francisco'@en	Q1061104	37.763319444444	-122.45853888889	1873.0	'UCSF Medical Center'@en	Q7864122	37.7632	-122.458	1907.0	796.0	'autophagy'@en	'Mycobacterium tuberculosis'@en	'Subventricular zone'@en	'ribozyme'@en	'neurogenesis'@en	14616.0	9100.0	9020.0	6993.0	6765.0	6299926584.0	3578238170.0	5886339400.0	14508223254.0	4414754550.0	1081.0	0.9631	0.59	Lee County
cluster_0_1_4_7_21_36_48_179_464	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'lung'@en	'particulates'@en	'age group'@en	'3D printing'@en	'microstructure'@en	13950.0	13950.0	13330.0	13200.0	13200.0	17796154500.0	17796154500.0	17005214300.0	8133087072.0	8133087072.0	1083.0	0.9079	0.555	Limestone County
cluster_0_1_3_11_25_81_164_378_1484	'Stanford University'@en	Q41506	37.4282293	-122.1688576	1891.0	'Stanford University Medical Center'@en	Q7598810	37.434	-122.175	1959.0	613.0	'pharmacogenomics'@en	'Mycobacterium tuberculosis'@en	'glycosylation'@en	'retinoblastoma'@en	'cell biology'@en	13720.0	9100.0	6300.0	5658.0	5568.0	11879728000.0	3578238170.0	2477241810.0	2048934684.0	2728436808.0	1085.0	0.1441	0.063	Lowndes County
cluster_0_0_0_3_26_63_138_339_1218	'Johns Hopkins University'@en	Q193727	39.32888888888889	-76.62055555555555	1876.0	'MedStar Union Memorial Hospital'@en	Q6804945	39.3291	-76.6143	1854.0	192.0	'craniotomy'@en	'Subventricular zone'@en	'neurosurgery'@en	'astrocyte'@en	'hydrocephalus'@en	13488.0	12364.0	12364.0	6744.0	5620.0	5742200352.0	5263683656.0	5263683656.0	2871100176.0	2392583480.0	1087.0	0.6502	0.114	Macon County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'3D printing'@en	'microstructure'@en	'Human Induced Pluripotent Stem Cells'@en	'phase I clinical trial'@en	'exposure assessment'@en	13200.0	13200.0	12768.0	12576.0	11780.0	8133087072.0	8133087072.0	17070943148.0	138751799504.0	15027863800.0	1089.0	0.9644	0.747	Madison County
cluster_0_0_0_8_10_15_24_63_116	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'Human Induced Pluripotent Stem Cells'@en	'phase I clinical trial'@en	'exposure assessment'@en	'bioengineering'@en	'biotechnology'@en	12768.0	12576.0	11780.0	11000.0	11000.0	17070943148.0	138751799504.0	15027863800.0	6777572560.0	6777572560.0	1091.0	0.1696	0.08	Marengo County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'phase I clinical trial'@en	'exposure assessment'@en	'bioengineering'@en	'biotechnology'@en	'cartilage'@en	12576.0	11780.0	11000.0	11000.0	11000.0	138751799504.0	15027863800.0	6777572560.0	6777572560.0	6777572560.0	1093.0	0.8241	0.315	Marion County
cluster_0_1_1_12_27_75_144_265_848	'Ontario Institute for Cancer Research'@en	Q1377857	43.6598	-79.3889	2005.0	'Toronto General Hospital'@en	Q2444359	43.659	-79.3885	1812.0	471.0	'database'@en	'Caenorhabditis elegans'@en	'ontology'@en	'Schistosoma mansoni'@en	'knowledge base'@en	12540.0	10032.0	7524.0	6270.0	6270.0	11785638360.0	9428510688.0	7071383016.0	5892819180.0	5892819180.0	1095.0	0.9598	0.561	Marshall County
cluster_0_0_0_3_12_19_26_187_702	'University of California, Berkeley'@en	Q168756	37.87	-122.259	1868.0	'Huntington Hospital'@en	Q5945374	34.1345	-118.153	1892.0	625.0	'RNA sequencing'@en	'Mycobacterium tuberculosis'@en	'ribozyme'@en	'glycosylation'@en	'schizophrenia'@en	12033.0	9100.0	6993.0	6300.0	5292.0	95606658252.0	3578238170.0	14508223254.0	2477241810.0	5755816164.0	1097.0	0.935	0.506	Mobile County
cluster_0_0_0_3_12_19_26_187_702	'California Institute of Technology'@en	Q161562	34.1375	-118.125	1891.0	'Huntington Hospital'@en	Q5945374	34.1345	-118.153	1892.0	625.0	'RNA sequencing'@en	'RNA analysis'@en	'Drosophila'@en	'phylogenetics'@en	'statistics'@en	12033.0	4584.0	3438.0	2865.0	2865.0	95606658252.0	36421584096.0	27316188072.0	22763490060.0	22763490060.0	1099.0	0.8964	0.243	Monroe County
cluster_0_0_0_8_18_29_38_158_317	'St. Jude Children\'s Research Hospital'@en	Q1164246	35.15291667	-90.04305556	1962.0	'St. Jude Children\'s Research Hospital'@en	Q1164246	35.15291667	-90.04305556	1962.0	657.8843930635838	'teenager'@en	'decision making'@en	'quality of life'@en	'Cytomegalovirus'@en	'antibody'@en	11832.0	5220.0	4176.0	3330.0	3330.0	16647269040.0	7344383400.0	5875506720.0	8993595006.0	8993595006.0	1101.0	0.9749	0.637	Montgomery County
cluster_0_0_0_8_18_29_38_158_317	'George Washington University'@en	Q432637	38.900833333333	-77.050833333333	1821.0	'St. Jude Children\'s Research Hospital'@en	Q1164246	35.15291667	-90.04305556	1962.0	657.8843930635838	'teenager'@en	'decision making'@en	'quality of life'@en	'patient'@en	'leukemia'@en	11832.0	5220.0	4176.0	2784.0	2436.0	16647269040.0	7344383400.0	5875506720.0	3917004480.0	3427378920.0	1103.0	0.9167	0.589	Morgan County
cluster_0_0_0_8_18_29_38_158_317	'University of Nevada, Reno'@en	Q1185955	39.545833333333	-119.81666666667	1874.0	'St. Jude Children\'s Research Hospital'@en	Q1164246	35.15291667	-90.04305556	1962.0	657.8843930635838	'teenager'@en	'decision making'@en	'quality of life'@en	'patient'@en	'leukemia'@en	11832.0	5220.0	4176.0	2784.0	2436.0	16647269040.0	7344383400.0	5875506720.0	3917004480.0	3427378920.0	1105.0	0.0012	0.032	Perry County
cluster_0_1_4_7_21_36_48_179_464	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'exposure assessment'@en	'bioengineering'@en	'biotechnology'@en	'cartilage'@en	'condensed matter physics'@en	11780.0	11000.0	11000.0	11000.0	11000.0	15027863800.0	6777572560.0	6777572560.0	6777572560.0	6777572560.0	1107.0	0.5724	0.11	Pickens County
cluster_0_0_0_0_0_0_39_106_193	'Vanderbilt University'@en	Q29052	36.148649	-86.804972	1873.0	'Children’s Hospital at TriStar Centennial'@en	Q50037130	36.153508	-86.807237		657.8843930635838	'chemotaxis'@en	'colorectal cancer'@en	'NF-κB'@en	'susceptibility locus'@en	'genome-wide association study'@en	11385.0	7632.0	7245.0	6678.0	5724.0	2885562207.0	4253813136.0	1836266859.0	3722086494.0	3190359852.0	1109.0	0.9254	0.354	Pike County
cluster_0_1_1_12_27_47_75_129_446	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'statistics'@en	'inflammation'@en	'Caenorhabditis elegans'@en	'transcriptome'@en	'inflammasome'@en	11340.0	10710.0	10080.0	10080.0	8925.0	14014272753.0	3609094770.0	12457131336.0	12457131336.0	3007578975.0	1111.0	0.6422	0.161	Randolph County
cluster_0_1_1_12_27_75_124_219_527	'University of New Mexico'@en	Q1190812	35.08389	-106.61861	1889.0	'University of New Mexico Hospital'@en	Q7895915	35.088	-106.618	1954.0	556.0	'G protein-coupled receptor'@en	'database'@en	'Mycobacterium tuberculosis'@en	'drug discovery'@en	'High-throughput screening'@en	11220.0	4080.0	3060.0	3060.0	2040.0	9888316460.0	3595751440.0	2696813580.0	2696813580.0	1797875720.0	1113.0	0.8929	0.402	Russell County
cluster_0_0_0_3_12_20_27_233_494	'University of Alabama at Birmingham'@en	Q1472663	33.5	-86.8075	1969.0	'Cooper Green Mercy Hospital'@en	Q5167771	33.5033	-86.8064	1972.0	657.8843930635838	'obesity'@en	'colorectal cancer'@en	'metabolic syndrome'@en	'quality of life'@en	'Teachable moment'@en	11040.0	1920.0	1920.0	1920.0	960.0	2578255104.0	448392192.0	448392192.0	448392192.0	224196096.0	1115.0	0.8901	0.361	St. Clair County
